location,floor,floor_count,rooms_count,square_meter_price,price,area,distance,monthly_payment
"Балашиха, Саввино м-н, Безымянная улица, 4",17,17,1,185185,6500000,35.1,2.65,108334.0
"Балашиха, Новое Павлино м-н, улица Романычева, 5",15,20,1,159941,5757887,36.0,3.96,108334.0
"Электросталь, Южный м-н, улица Победы, 2 к3",1,5,3,99315,5800000,58.4,5.536184325362192,96667.0
"Ногинск, Заречье м-н, Декабристов улица, 1Б",2,10,3,145180,12500000,86.1,5.536184325362192,208334.0
"Реутов, 3-й м-н, Комсомольская улица, 5а",3,9,2,183377,6950000,37.9,0.85,108334.0
"Ногинск, улица Текстилей, 35",7,9,4,106038,7200000,67.9,5.536184325362192,120000.0
"Балашиха, Новое Павлино м-н, улица Бояринова, 13",16,22,1,147619,6200000,42.0,4.01,103334.0
"Красногорск городской округ, д. Сабурово, Пятницкие кварталы, Парковая улица, 8",7,8,2,149688,7200000,48.1,8.17,120000.0
"Фрязино, 4-й м-н, улица 60 лет СССР, 1",7,9,2,141949,6700000,47.2,5.536184325362192,111667.0
"Павловский Посад, улица Чкалова, 10",3,3,1,92233,2850000,30.9,5.536184325362192,47500.0
"Балашиха, Железнодорожный м-н, улица Поликахина, 2",14,17,2,168503,9587841,56.9,1.82,108334.0
"Балашиха, Железнодорожный м-н, улица Поликахина, 2",12,17,2,162828,8401950,51.6,1.82,108334.0
"Балашиха, Железнодорожный м-н, улица Поликахина, 2",12,17,2,153938,8866830,57.6,1.82,108334.0
"Балашиха, Железнодорожный м-н, улица Поликахина, 2",8,17,2,168501,9621454,57.1,1.82,108334.0
"Королёв, Текстильщик м-н, Тарасовская улица, 14",22,25,1,192424,6350000,33.0,15.83,105834.0
"Красногорск городской округ, д. Путилково, Просторная улица, 1 к1",5,10,3,231683,11700000,50.5,5.536184325362192,195001.0
"Серпухов, Весенняя улица, 102",10,10,3,101562,6500000,64.0,5.536184325362192,108334.0
"Мытищи, 25-й м-н, улица Комарова, 2 к3",5,14,1,224409,8550000,38.1,7.7,142501.0
"Одинцовский городской округ, с. Лайково, микрорайон Город-событие, 69",11,13,2,168269,10500000,62.4,7.64,175001.0
"Одинцово, улица Северная, 5 к4",5,17,1,229545,10100000,44.0,3.4,168334.0
"Мытищи городской округ, пос. Мебельной фабрики, Заречная улица, 1а",12,16,2,136815,11000000,80.4,13.53,108334.0
"Мытищи городской округ, д. Пирогово, улица Ильинского, 5",7,9,3,157648,12659191,80.3,5.536184325362192,210988.0
"Мытищи городской округ, д. Пирогово, улица Ильинского, 5",2,6,3,137954,12360701,89.6,5.536184325362192,206013.0
"Мытищи, 10а м-н, Новомытищинский проспект, 62 к1",5,10,2,232176,11237366,48.4,6.13,187290.0
"Мытищи городской округ, д. Пирогово, улица Ильинского, 5",9,9,1,154336,9584269,62.1,5.536184325362192,159738.0
"Мытищи городской округ, д. Пирогово, улица Ильинского, 5",8,9,2,161818,10129822,62.6,5.536184325362192,168831.0
"Мытищи городской округ, д. Пирогово, улица Ильинского, 5",5,9,3,153677,12386423,80.6,5.536184325362192,206441.0
"Лыткарино, 2-й м-н, Советская улица, 7",5,6,4,78770,8200000,104.1,10.36,108334.0
"Лыткарино, 2-й м-н, Советская улица, 7",5,6,3,78770,8200000,104.1,10.36,108334.0
"Фрязино, 4-й м-н, Полевая улица, 19",1,14,2,146296,7900000,54.0,5.536184325362192,131667.0
"Коломна, Старая Коломна м-н, Коломенская улица, 6",1,5,3,139259,9400000,67.5,5.536184325362192,156667.0
"Шатура, Керва м-н, Больничный проезд, 18/1",3,5,1,68491,2815000,41.1,5.536184325362192,46917.0
"Мытищи городской округ, пос. Мебельной фабрики, Рассветная улица, 3",9,9,2,150000,7500000,50.0,5.536184325362192,125000.0
"Коломна городской округ, пос. Пески, Советская улица, 7",1,5,1,98006,2950000,30.1,5.536184325362192,49167.0
"Люберцы, Зенино ЖК Самолёт м-н, Озёрная улица, 2",11,17,2,206867,6805954,32.9,3.33,108334.0
"Люберцы, Зенино ЖК Самолёт м-н, Озёрная улица, 2",3,17,2,201233,7143778,35.5,3.33,108334.0
