location,floor,floor_count,rooms_count,square_meter_price,price,year_of_construction,ipoteka_rate,area,discount,distance,monthly_payment
"Россия, Московская область, Балашиха, Саввино м-н, Безымянная улица, 4",17,17,1,185185,6500000,2020,24.9,35.1,0.3,2.65,108334
"Россия, Московская область, Балашиха, Новое Павлино м-н, улица Романычева, 5",15,20,1,159941,5757887,none,24.9,36.0,none,3.96,none
"Россия, Московская область, Электросталь, Южный м-н, улица Победы, 2 к3",1,5,3,99315,5800000,none,24.9,58.4,0.3,none,96667
"Россия, Московская область, Люберцы, Зенино ЖК Самолёт м-н, улица Дружбы, 5 к2",10,17,0,228846,5950000,2016,24.9,26.0,0.3,2.88,99167
"Россия, Московская область, Ногинск, Заречье м-н, Декабристов улица, 1Б",2,10,3,145180,12500000,none,24.9,86.1,0.6,none,208334
"Россия, Московская область, Реутов, 3-й м-н, Комсомольская улица, 5а",3,9,2,183377,6950000,none,24.9,37.9,0.3,0.85,none
"Россия, Московская область, Ногинск, улица Текстилей, 35",7,9,4,106038,7200000,none,24.9,67.9,0.3,none,120000
"Россия, Московская область, Балашиха, Новое Павлино м-н, улица Бояринова, 13",16,22,1,147619,6200000,none,24.9,42.0,0.3,4.01,103334
"Россия, Московская область, Красногорск городской округ, д. Сабурово, Пятницкие кварталы, Парковая улица, 8",7,8,2,149688,7200000,none,24.9,48.1,0.3,8.17,120000
"Россия, Московская область, Фрязино, 4-й м-н, улица 60 лет СССР, 1",7,9,2,141949,6700000,none,24.9,47.2,0.3,none,111667
"Россия, Московская область, Павловский Посад, улица Чкалова, 10",3,3,1,92233,2850000,none,24.9,30.9,0.3,none,47500
"Россия, Московская область, Балашиха, Железнодорожный м-н, улица Поликахина, 2",14,17,2,168503,9587841,2022,24.9,56.9,0.3,1.82,none
"Россия, Московская область, Балашиха, Железнодорожный м-н, улица Поликахина, 2",12,17,2,162828,8401950,2022,24.9,51.6,0.3,1.82,none
"Россия, Московская область, Балашиха, Железнодорожный м-н, улица Поликахина, 2",12,17,2,153938,8866830,2022,24.9,57.6,0.3,1.82,none
"Россия, Московская область, Балашиха, Железнодорожный м-н, улица Поликахина, 2",8,17,2,168501,9621454,2022,24.9,57.1,0.3,1.82,none
"Россия, Московская область, Королёв, Текстильщик м-н, Тарасовская улица, 14",22,25,1,192424,6350000,none,24.9,33.0,0.3,15.83,105834
"Россия, Московская область, Красногорск городской округ, д. Путилково, Просторная улица, 1 к1",5,10,3,231683,11700000,2022,24.9,50.5,0.6,none,195001
"Россия, Московская область, Серпухов, Весенняя улица, 102",10,10,3,101562,6500000,none,24.9,64.0,0.3,none,108334
"Россия, Московская область, Мытищи, 25-й м-н, улица Комарова, 2 к3",5,14,1,224409,8550000,none,24.9,38.1,0.3,7.7,142501
"Россия, Московская область, Одинцовский городской округ, с. Лайково, микрорайон Город-событие, 69",11,13,2,168269,10500000,2023,24.9,62.4,0.3,7.64,175001
"Россия, Московская область, Одинцово, улица Северная, 5 к4",5,17,1,229545,10100000,2022,24.9,44.0,none,3.4,168334
"Россия, Московская область, Мытищи городской округ, пос. Мебельной фабрики, Заречная улица, 1а",12,16,2,136815,11000000,none,24.9,80.4,0.3,13.53,none
"Россия, Московская область, Мытищи городской округ, д. Пирогово, улица Ильинского, 5",7,9,3,157648,12659191,none,24.9,80.3,none,none,210988
"Россия, Московская область, Мытищи городской округ, д. Пирогово, улица Ильинского, 5",2,6,3,137954,12360701,none,24.9,89.6,none,none,206013
"Россия, Московская область, Мытищи, 10а м-н, Новомытищинский проспект, 62 к1",5,10,2,232176,11237366,none,24.9,48.4,0.3,6.13,187290
"Россия, Московская область, Мытищи городской округ, д. Пирогово, улица Ильинского, 5",9,9,1,154336,9584269,none,24.9,62.1,none,none,159738
"Россия, Московская область, Мытищи городской округ, д. Пирогово, улица Ильинского, 5",8,9,2,161818,10129822,none,24.9,62.6,none,none,168831
"Россия, Московская область, Мытищи городской округ, д. Пирогово, улица Ильинского, 5",5,9,3,153677,12386423,none,24.9,80.6,none,none,206441
"Россия, Московская область, Лыткарино, 2-й м-н, Советская улица, 7",5,6,4,78770,8200000,none,24.9,104.1,0.3,10.36,none
"Россия, Московская область, Лыткарино, 2-й м-н, Советская улица, 7",5,6,3,78770,8200000,none,24.9,104.1,0.3,10.36,none
"Россия, Московская область, Фрязино, 4-й м-н, Полевая улица, 19",1,14,2,146296,7900000,none,24.9,54.0,0.3,none,131667
"Россия, Московская область, Коломна, Старая Коломна м-н, Коломенская улица, 6",1,5,3,139259,9400000,none,24.9,67.5,0.3,none,156667
"Россия, Московская область, Шатура, Керва м-н, Больничный проезд, 18/1",3,5,1,68491,2815000,none,24.9,41.1,0.3,none,46917
"Россия, Московская область, Наро-Фоминский городской округ, д. Тёрновка, Пионерский Лагерь Юность, 2",2,2,1,87412,2500000,none,24.9,28.6,0.3,none,41666
"Россия, Московская область, Мытищи городской округ, пос. Мебельной фабрики, Рассветная улица, 3",9,9,2,150000,7500000,2021,24.9,50.0,none,none,125000
"Россия, Московская область, Коломна городской округ, пос. Пески, Советская улица, 7",1,5,1,98006,2950000,none,24.9,30.1,none,none,49167
"Россия, Московская область, Люберцы, Зенино ЖК Самолёт м-н, Озёрная улица, 2",11,17,2,206867,6805954,none,24.9,32.9,none,3.33,none
"Россия, Московская область, Люберцы, Зенино ЖК Самолёт м-н, Озёрная улица, 2",3,17,2,201233,7143778,none,24.9,35.5,none,3.33,none
"Россия, Московская область, Фрязино, 2-й м-н, Полевая улица, 11",1,9,2,127753,5800000,none,24.9,45.4,0.3,none,96667
"Россия, Московская область, Люберцы, Зенино ЖК Самолёт м-н, Озёрная улица, 2",16,17,3,189799,10021404,none,24.9,52.8,none,3.33,167024
